,position
10941,0.0
10777,3.0
2895,2.0
16121,2.0
11993,3.0
11166,3.0
10191,1.0
10045,3.0
12349,1.0
18448,0.0
2005,1.0
14347,3.0
3251,2.0
7472,1.0
9405,2.0
16262,3.0
2439,0.0
18889,1.0
3201,1.0
13082,3.0
3346,2.0
8,0.0
12957,0.0
18208,1.0
17726,3.0
4721,0.0
10702,2.0
7205,2.0
1135,2.0
8272,2.0
11269,1.0
18612,1.0
16037,2.0
3098,1.0
12896,2.0
2974,3.0
13298,3.0
14919,1.0
15734,2.0
18858,1.0
11891,1.0
14711,2.0
7036,3.0
12903,3.0
10601,1.0
5248,1.0
13840,3.0
4195,3.0
2039,1.0
3044,3.0
13187,2.0
2262,1.0
7234,1.0
2803,2.0
12448,0.0
5505,2.0
1211,2.0
11722,2.0
12589,3.0
825,1.0
17400,3.0
144,1.0
3301,2.0
16847,3.0
3923,1.0
4414,1.0
10912,3.0
13896,1.0
11919,1.0
514,2.0
9664,1.0
16202,2.0
1805,2.0
16096,3.0
15180,1.0
8102,1.0
1717,1.0
1401,0.0
10421,1.0
8211,1.0
2805,3.0
6939,2.0
18379,3.0
14542,1.0
9007,1.0
10942,3.0
15198,3.0
1039,1.0
6212,2.0
29,3.0
12616,2.0
14196,1.0
11219,1.0
287,3.0
18113,3.0
12973,2.0
5883,0.0
726,1.0
3506,2.0
18015,1.0
2132,1.0
15084,1.0
15749,1.0
13144,3.0
18910,2.0
4128,1.0
10112,2.0
7909,0.0
6863,2.0
3273,2.0
4977,0.0
11823,1.0
16897,2.0
1883,2.0
15651,2.0
12836,2.0
1371,0.0
4179,2.0
17937,1.0
8508,2.0
8397,1.0
19010,1.0
10818,1.0
2751,1.0
3756,3.0
3157,1.0
17861,1.0
13042,2.0
14366,1.0
2972,2.0
10144,3.0
8749,3.0
1229,1.0
8192,3.0
2774,2.0
10203,0.0
15568,3.0
7331,2.0
8926,3.0
9583,3.0
17353,3.0
14412,1.0
13765,2.0
9498,1.0
1235,0.0
16545,2.0
9795,2.0
6362,2.0
11340,3.0
8628,3.0
9115,1.0
11230,0.0
15090,3.0
16050,1.0
12772,1.0
2426,0.0
1786,3.0
7184,1.0
973,3.0
3760,1.0
1458,1.0
11144,2.0
3681,2.0
18499,2.0
9669,3.0
17998,3.0
68,1.0
13188,3.0
682,3.0
15679,1.0
17177,3.0
71,1.0
11964,1.0
8600,3.0
19159,0.0
15631,0.0
13857,2.0
18982,1.0
8198,2.0
4066,2.0
17645,0.0
4346,3.0
7615,2.0
5316,1.0
16549,1.0
5603,3.0
10253,2.0
18800,2.0
11550,2.0
2053,1.0
18997,2.0
2821,2.0
8363,2.0
1715,2.0
18557,0.0
9882,2.0
13178,3.0
14828,3.0
2379,1.0
9388,1.0
6742,1.0
1940,3.0
11213,2.0
17091,0.0
16272,2.0
9108,0.0
18426,2.0
10976,0.0
8377,3.0
16199,2.0
207,2.0
3207,2.0
15747,0.0
17620,0.0
3113,2.0
420,3.0
11471,1.0
11320,2.0
3920,3.0
7540,2.0
17471,3.0
2927,2.0
16463,1.0
15764,2.0
9448,0.0
15393,3.0
2146,2.0
18974,2.0
18638,2.0
931,0.0
9541,3.0
15955,0.0
8785,2.0
10765,3.0
11545,2.0
408,1.0
13673,2.0
1841,1.0
9724,3.0
14119,2.0
13368,3.0
3010,2.0
7978,2.0
11170,3.0
4697,1.0
7252,2.0
8120,1.0
16489,3.0
3018,1.0
13420,1.0
1117,3.0
9190,2.0
5674,1.0
14390,3.0
12788,1.0
4794,2.0
9362,2.0
18717,3.0
11660,2.0
16606,0.0
19014,3.0
1407,2.0
4373,3.0
9622,3.0
1929,2.0
14862,2.0
17483,2.0
18479,1.0
18661,0.0
15705,2.0
17268,2.0
9756,1.0
9685,2.0
7489,0.0
14609,1.0
8913,2.0
8429,2.0
5597,1.0
3222,3.0
17702,1.0
18488,0.0
1564,2.0
13157,1.0
5566,2.0
6779,1.0
12123,2.0
11698,2.0
4139,1.0
16696,3.0
10581,3.0
2973,0.0
11255,1.0
9406,2.0
262,1.0
8265,3.0
14677,2.0
1072,1.0
18514,2.0
8166,3.0
7613,2.0
2449,1.0
9767,3.0
4140,1.0
2238,2.0
3378,3.0
15462,3.0
18731,0.0
18753,2.0
15921,2.0
16005,1.0
16167,2.0
15214,2.0
5078,3.0
3905,2.0
9836,2.0
16900,1.0
2797,1.0
8049,3.0
9297,0.0
1735,3.0
2793,2.0
2105,2.0
15511,3.0
332,3.0
14743,3.0
7611,3.0
15138,1.0
5272,2.0
11542,2.0
13170,3.0
9853,1.0
997,1.0
13460,1.0
1799,2.0
6758,3.0
13099,2.0
5013,1.0
8829,1.0
5661,0.0
2210,2.0
5315,2.0
18327,0.0
14751,2.0
746,3.0
638,3.0
16280,1.0
18769,0.0
3789,2.0
15956,1.0
4931,3.0
1153,0.0
14623,1.0
6612,2.0
15024,3.0
18333,2.0
5291,2.0
661,2.0
8073,2.0
9053,2.0
18524,2.0
16399,1.0
12336,1.0
17176,1.0
636,1.0
2121,2.0
11481,2.0
6122,2.0
8182,2.0
2995,3.0
15512,1.0
9925,1.0
18268,1.0
11327,3.0
17164,2.0
18031,1.0
17843,1.0
12495,2.0
6130,1.0
8509,2.0
9084,0.0
17120,1.0
7359,3.0
12900,2.0
14824,1.0
7726,3.0
14383,1.0
18937,1.0
11310,1.0
17095,3.0
4889,1.0
7791,3.0
3602,3.0
18701,0.0
19194,3.0
212,3.0
3666,1.0
778,2.0
15439,2.0
6526,1.0
15354,2.0
15119,0.0
3803,2.0
8863,0.0
12799,1.0
4864,2.0
690,1.0
11046,1.0
19188,2.0
6701,2.0
17055,2.0
1142,1.0
9738,1.0
15352,3.0
12821,2.0
8366,1.0
14673,3.0
10667,3.0
5080,1.0
2018,3.0
15121,1.0
6740,2.0
15824,3.0
9101,3.0
11438,2.0
16411,2.0
16546,2.0
13095,2.0
2565,0.0
3614,2.0
14149,2.0
8757,2.0
3030,2.0
12552,2.0
15016,0.0
4318,1.0
14984,2.0
11440,2.0
5351,1.0
11366,1.0
3849,3.0
908,1.0
7111,1.0
6626,1.0
12104,0.0
8868,3.0
13834,1.0
9117,1.0
836,3.0
10155,3.0
3438,0.0
10751,3.0
9300,3.0
12028,1.0
4150,2.0
2965,1.0
3111,1.0
315,3.0
319,0.0
12146,2.0
10619,2.0
8566,1.0
14283,2.0
727,2.0
11520,2.0
15985,0.0
14643,3.0
6340,1.0
11001,2.0
8725,3.0
8851,1.0
6658,1.0
3668,2.0
8712,3.0
8208,1.0
17612,0.0
6169,2.0
7660,1.0
4082,3.0
10127,2.0
13932,1.0
2700,2.0
9105,1.0
12557,2.0
11900,3.0
13716,3.0
3736,1.0
489,3.0
5681,2.0
18066,1.0
5571,2.0
4904,2.0
7846,1.0
7053,2.0
14204,3.0
1418,1.0
15472,2.0
15334,1.0
15203,1.0
14417,2.0
2725,2.0
4784,1.0
12370,3.0
3653,3.0
2625,1.0
12095,3.0
16733,2.0
15668,1.0
8991,0.0
17677,1.0
5625,1.0
10420,2.0
15915,3.0
18541,1.0
3226,2.0
8846,1.0
16194,3.0
962,1.0
15887,3.0
3924,3.0
17964,2.0
19197,1.0
14989,1.0
15630,2.0
15368,2.0
11518,0.0
9637,2.0
19068,3.0
16172,1.0
7824,0.0
13827,2.0
8592,1.0
2888,3.0
14933,1.0
17194,3.0
18253,0.0
17721,0.0
2477,3.0
2655,1.0
9638,3.0
3003,2.0
8687,1.0
9551,1.0
4274,1.0
12862,1.0
1599,2.0
5750,1.0
8874,1.0
10573,2.0
9292,3.0
6567,0.0
9900,1.0
5563,2.0
12464,3.0
11040,1.0
1024,2.0
6152,3.0
16026,3.0
12244,0.0
11328,0.0
6995,2.0
7082,2.0
11796,3.0
139,3.0
3373,1.0
10841,3.0
11013,2.0
11011,3.0
12372,1.0
75,3.0
10247,0.0
6929,2.0
4329,3.0
5416,1.0
13530,2.0
17126,0.0
10753,0.0
16384,2.0
15160,0.0
15345,3.0
2587,2.0
11675,2.0
8736,1.0
7169,2.0
11443,2.0
16315,3.0
8041,3.0
14786,3.0
5298,1.0
7370,1.0
13310,3.0
12613,0.0
8764,2.0
6724,3.0
3146,3.0
15635,1.0
15196,2.0
12823,2.0
17456,1.0
11972,1.0
9848,2.0
10283,2.0
13141,3.0
1956,1.0
2297,1.0
73,0.0
5175,2.0
7330,2.0
18056,3.0
15577,3.0
412,2.0
940,3.0
18645,3.0
11937,1.0
17771,0.0
16988,2.0
3001,1.0
12015,1.0
17808,0.0
4861,3.0
14341,3.0
9784,3.0
9147,3.0
2341,2.0
18062,1.0
16234,0.0
16437,1.0
11042,1.0
14100,3.0
2658,3.0
14565,2.0
4809,2.0
2393,3.0
4709,2.0
5355,2.0
13949,0.0
8946,1.0
18014,2.0
17248,2.0
7912,3.0
4322,1.0
903,3.0
5176,2.0
13267,3.0
18110,1.0
5292,1.0
15416,3.0
14854,1.0
4374,1.0
18419,2.0
10986,3.0
9476,1.0
19057,1.0
4822,2.0
8267,2.0
8411,1.0
7693,0.0
5204,2.0
17150,1.0
11125,1.0
3662,1.0
5539,0.0
6352,1.0
13336,1.0
7590,3.0
10807,1.0
17114,1.0
7968,2.0
13219,0.0
7546,3.0
7448,2.0
7106,1.0
14010,1.0
2630,2.0
1723,2.0
9035,3.0
10971,1.0
1772,2.0
3590,3.0
11601,0.0
13371,3.0
12489,3.0
9565,2.0
4236,2.0
17993,1.0
6190,1.0
8579,2.0
8809,1.0
16567,2.0
14072,2.0
12726,3.0
18001,1.0
17432,3.0
158,1.0
14570,3.0
4016,2.0
10306,2.0
14859,1.0
6807,0.0
16701,1.0
13292,3.0
7551,2.0
13153,0.0
995,1.0
4875,2.0
12920,2.0
2719,1.0
4105,3.0
6140,3.0
8920,2.0
12478,3.0
6693,3.0
3231,2.0
7155,1.0
15071,0.0
9316,1.0
15123,1.0
2178,2.0
7902,1.0
15056,1.0
1617,3.0
9161,3.0
18328,3.0
5652,0.0
14616,3.0
17394,3.0
4811,0.0
15879,1.0
1833,1.0
18784,1.0
15157,3.0
14784,1.0
10428,0.0
2104,1.0
5435,2.0
3762,0.0
14842,2.0
6300,2.0
1122,3.0
18509,2.0
17193,3.0
16670,0.0
2497,1.0
17306,2.0
10951,2.0
16237,3.0
12719,0.0
11961,3.0
91,2.0
12609,1.0
12714,1.0
8794,3.0
12169,1.0
9458,1.0
9472,1.0
13700,2.0
406,2.0
7753,2.0
270,1.0
15328,2.0
8890,1.0
6838,3.0
13807,3.0
11565,0.0
11813,3.0
4830,2.0
16178,3.0
13986,2.0
18456,2.0
11985,3.0
8593,0.0
3507,1.0
7246,2.0
7042,2.0
9717,2.0
16129,2.0
12316,3.0
18984,2.0
3170,1.0
13216,1.0
13517,1.0
2265,3.0
18496,1.0
18163,3.0
3465,3.0
1761,3.0
17158,3.0
10817,2.0
13725,3.0
8540,0.0
9158,2.0
1144,1.0
4413,1.0
11359,1.0
8636,1.0
338,0.0
18168,0.0
15732,1.0
345,0.0
5938,1.0
1959,1.0
8339,0.0
52,2.0
12791,0.0
3365,1.0
493,0.0
13254,2.0
7451,1.0
16524,0.0
17032,1.0
837,3.0
19192,0.0
16215,2.0
17066,1.0
17451,1.0
3497,3.0
14585,2.0
924,1.0
19169,3.0
4014,1.0
12412,0.0
96,1.0
8047,2.0
4332,3.0
5153,0.0
5501,2.0
4074,2.0
5873,3.0
7062,2.0
2016,2.0
11429,1.0
861,1.0
14281,1.0
12814,3.0
11991,2.0
1300,3.0
8606,1.0
11790,2.0
5783,2.0
9789,0.0
8739,2.0
11075,2.0
2662,3.0
8127,2.0
9038,1.0
5330,2.0
7787,3.0
357,2.0
16189,1.0
18040,1.0
14869,1.0
5157,1.0
15578,3.0
18825,3.0
8611,1.0
5673,1.0
1817,1.0
6799,1.0
8577,3.0
18484,1.0
12910,0.0
7254,3.0
6473,2.0
1448,2.0
12758,1.0
623,3.0
18798,2.0
13266,1.0
4042,0.0
6429,0.0
5128,1.0
3524,1.0
16998,1.0
18437,1.0
15828,1.0
11695,1.0
7076,1.0
15791,2.0
14592,1.0
5409,1.0
2175,3.0
4902,2.0
5567,2.0
8975,3.0
14768,3.0
8651,2.0
10308,2.0
10822,1.0
16872,0.0
13625,0.0
10462,2.0
4437,3.0
2066,2.0
14773,2.0
13173,0.0
18190,0.0
14868,3.0
1528,1.0
18875,3.0
9222,1.0
33,3.0
16551,1.0
5577,1.0
3066,1.0
17966,1.0
11247,2.0
5129,2.0
1684,2.0
18518,2.0
15207,2.0
15538,2.0
3526,3.0
18949,2.0
7914,1.0
5441,2.0
4725,0.0
14015,1.0
2423,3.0
7086,3.0
6783,1.0
11999,1.0
15215,3.0
4027,1.0
4949,0.0
1279,2.0
17739,2.0
13598,3.0
10671,3.0
3906,0.0
4802,3.0
19106,1.0
305,3.0
18477,2.0
2001,1.0
4022,1.0
15825,1.0
15938,2.0
5600,2.0
7763,3.0
18218,2.0
1457,2.0
12033,3.0
18293,2.0
10079,3.0
12770,1.0
9633,2.0
11600,3.0
13489,3.0
15485,2.0
6963,1.0
4970,1.0
5660,1.0
6222,3.0
5987,1.0
19029,1.0
9791,3.0
5325,3.0
10719,2.0
5084,1.0
18134,1.0
10925,1.0
13380,1.0
15155,3.0
18410,2.0
1087,1.0
6853,1.0
17876,2.0
977,2.0
5544,1.0
103,2.0
7930,1.0
5275,2.0
11028,3.0
4347,2.0
8114,3.0
6884,3.0
8054,1.0
8326,2.0
17096,1.0
6161,1.0
3534,2.0
15557,1.0
1651,3.0
7918,1.0
13450,3.0
7789,1.0
11404,2.0
14809,3.0
6396,1.0
10483,2.0
18101,3.0
7043,1.0
148,1.0
7245,2.0
14917,3.0
14244,2.0
18732,1.0
10111,1.0
4559,1.0
2989,2.0
1214,2.0
16191,0.0
15366,2.0
7409,1.0
501,2.0
2021,1.0
183,3.0
1231,3.0
4327,2.0
12371,2.0
8350,3.0
18435,3.0
7334,2.0
11160,3.0
9319,3.0
2942,2.0
7083,3.0
15383,2.0
6338,3.0
3873,3.0
6400,1.0
7413,1.0
18318,3.0
341,2.0
12049,2.0
8723,3.0
4251,2.0
15518,2.0
2233,1.0
16864,2.0
8354,1.0
8207,2.0
13486,3.0
10839,3.0
2194,3.0
4388,3.0
10589,3.0
10024,3.0
8935,2.0
17699,3.0
11177,0.0
356,0.0
17075,2.0
14153,1.0
16647,1.0
7994,1.0
10377,2.0
15287,2.0
17121,3.0
1284,3.0
14229,2.0
3620,2.0
2310,2.0
17784,2.0
7742,2.0
13488,3.0
7480,0.0
9478,3.0
4884,0.0
9743,3.0
11469,3.0
1277,2.0
15989,1.0
436,1.0
4901,2.0
842,1.0
17093,3.0
7294,1.0
18810,1.0
7858,3.0
7979,1.0
12181,1.0
5319,3.0
2126,3.0
12840,2.0
8212,2.0
6922,2.0
12129,2.0
16711,3.0
6282,1.0
2047,1.0
10663,1.0
3619,3.0
14894,1.0
18711,0.0
13820,2.0
13710,3.0
9974,2.0
17915,0.0
6920,1.0
8970,1.0
16799,1.0
6695,3.0
10271,2.0
12763,1.0
9609,2.0
11983,2.0
6754,3.0
6827,1.0
17137,1.0
7466,2.0
7550,1.0
12997,1.0
2883,3.0
17013,2.0
16444,1.0
844,3.0
9483,0.0
9598,1.0
12455,0.0
15125,3.0
17245,1.0
18560,3.0
13979,2.0
16934,1.0
13617,1.0
16042,1.0
5927,2.0
11027,1.0
18710,1.0
4116,2.0
12042,1.0
11771,2.0
8142,1.0
8071,2.0
13447,1.0
2837,1.0
6185,2.0
18392,3.0
500,3.0
2628,3.0
17712,3.0
4577,0.0
10801,0.0
9151,1.0
6832,0.0
6316,3.0
18951,1.0
8227,3.0
2271,3.0
9398,1.0
11017,3.0
3530,1.0
6103,3.0
12872,2.0
5358,2.0
400,1.0
17667,0.0
7039,1.0
18334,0.0
15202,1.0
18149,0.0
422,2.0
17671,1.0
13245,3.0
11809,2.0
2623,2.0
5338,2.0
10693,3.0
16074,1.0
10991,1.0
19233,3.0
12182,3.0
13952,0.0
12702,0.0
3291,0.0
34,0.0
16346,0.0
569,1.0
9608,1.0
187,1.0
7554,1.0
8977,1.0
13991,1.0
12505,0.0
9707,3.0
17754,1.0
13442,3.0
9396,1.0
449,0.0
7547,1.0
11186,2.0
7394,2.0
6846,1.0
14080,2.0
6113,3.0
7500,0.0
6889,0.0
16819,0.0
6110,3.0
14349,2.0
13206,1.0
986,3.0
7438,2.0
665,1.0
2813,3.0
7440,2.0
3811,1.0
7934,3.0
6598,3.0
11560,1.0
14827,1.0
13032,3.0
5485,0.0
1979,2.0
7093,1.0
15846,3.0
12424,1.0
6720,1.0
15570,2.0
11556,0.0
11632,3.0
17454,0.0
7310,2.0
5907,3.0
12136,1.0
17509,2.0
9893,1.0
12731,3.0
10924,1.0
11004,3.0
1476,1.0
8831,3.0
18515,3.0
15292,0.0
19173,2.0
2370,1.0
7995,2.0
17025,1.0
2608,2.0
15815,2.0
128,2.0
2442,1.0
16517,1.0
4183,1.0
14165,1.0
10695,3.0
19210,0.0
5598,2.0
12389,2.0
2547,0.0
8529,3.0
11274,1.0
10416,3.0
5659,1.0
15101,1.0
4193,1.0
3016,1.0
9046,1.0
568,3.0
14911,3.0
6091,3.0
3559,3.0
16671,2.0
17692,1.0
2071,3.0
6073,0.0
7847,3.0
3635,2.0
4646,3.0
5219,2.0
13872,2.0
6830,2.0
350,1.0
3073,3.0
691,1.0
15744,3.0
19139,0.0
16746,1.0
914,1.0
7595,1.0
2392,2.0
18663,0.0
1945,2.0
12303,1.0
5039,1.0
16811,0.0
1782,2.0
228,1.0
11178,2.0
915,1.0
17349,3.0
5405,1.0
3405,2.0
12509,1.0
1219,1.0
2522,2.0
8081,2.0
5547,1.0
2160,1.0
2211,1.0
7132,2.0
4779,3.0
773,1.0
11070,0.0
8916,2.0
14306,3.0
2348,2.0
14511,3.0
17992,2.0
7151,1.0
633,2.0
671,2.0
9005,0.0
2354,1.0
13145,0.0
5278,1.0
2539,0.0
2723,3.0
3094,1.0
1537,2.0
12514,2.0
8530,3.0
13966,3.0
17757,0.0
13718,3.0
16603,0.0
49,1.0
14116,1.0
9467,2.0
4905,0.0
11598,1.0
11949,1.0
12072,2.0
9163,1.0
161,2.0
7027,3.0
13386,1.0
6108,3.0
19147,2.0
7581,1.0
9261,1.0
18291,1.0
13249,1.0
11962,2.0
949,0.0
1913,2.0
11195,0.0
10177,1.0
11409,2.0
8899,2.0
12013,3.0
18801,3.0
13354,0.0
14428,1.0
16595,1.0
6376,2.0
10147,3.0
1878,1.0
17822,0.0
4352,3.0
1334,3.0
1008,2.0
11733,1.0
18636,3.0
815,3.0
17216,0.0
3731,2.0
13842,1.0
17204,2.0
18894,0.0
16485,1.0
4301,1.0
18756,3.0
10239,3.0
5123,2.0
5007,0.0
7679,1.0
11209,3.0
471,2.0
12006,1.0
7314,0.0
18931,3.0
7650,2.0
6553,1.0
3700,1.0
399,1.0
16977,1.0
1561,0.0
18967,1.0
18009,3.0
9387,1.0
117,1.0
7025,3.0
5958,1.0
275,2.0
17988,1.0
16162,1.0
17560,1.0
2549,3.0
6126,2.0
6205,3.0
17508,1.0
4820,1.0
16509,1.0
16157,1.0
4757,2.0
